Fold,NN_Train_F1,NN_Train_Precision,NN_Train_Recall,NN_Val_F1,NN_Val_Precision,NN_Val_Recall,XGB_Val_F1,XGB_Val_Precision,XGB_Val_Recall
1,0.9590264724062866,0.9592846090850307,0.9590625,0.965262838797087,0.9658752142639472,0.9653125,0.9612408823529413,0.9612589102011799,0.96125
2,0.9626345902201956,0.9627558874059158,0.96265625,0.9568221440917662,0.9572785929639136,0.956875,0.9540447820915862,0.9540946416422382,0.9540625
3,0.9612315992709077,0.9613130099309773,0.96125,0.97,0.97,0.97,0.9596683114398058,0.9597487725870877,0.9596875
4,0.9647470588660988,0.9648492558822823,0.964765625,0.9662143322241471,0.9665809124547315,0.96625,0.9611933511591496,0.9618185286032636,0.96125
5,0.9685008191980731,0.9685844118695119,0.968515625,0.9640370173352948,0.9642177879792808,0.9640625,0.9568649551956534,0.9568819292558775,0.956875
